"airport_name","city","country","IATA","ICAO","region"
"Otu","Otu","Colombia","OTU","SKOT","America/Bogota"
"Puerto Bolivar","Puerto Bolivar","Colombia",NA,"SKPB","America/Bogota"
"Puerto Carreno","Puerto Carreno","Colombia","PCR","SKPC","America/Bogota"
"Matecana","Pereira","Colombia","PEI","SKPE","America/Bogota"
"Pitalito","Pitalito","Colombia",NA,"SKPI","America/Bogota"
"Guillermo Leon Valencia","Popayan","Colombia","PPN","SKPP","America/Bogota"
"Antonio Narino","Pasto","Colombia","PSO","SKPS","America/Bogota"
"El Embrujo","Providencia","Colombia","PVA","SKPV","America/Bogota"
"Mariquita","Mariquita","Colombia",NA,"SKQU","America/Bogota"
"Jose Maria Cordova","Rio Negro","Colombia","MDE","SKRG","America/Bogota"
"Almirante Padilla","Rio Hacha","Colombia","RCH","SKRH","America/Bogota"
"Jorge E Gonzalez Torres","San Jose Del Guaviare","Colombia","SJE","SKSJ","America/Bogota"
"Simon Bolivar","Santa Marta","Colombia","SMR","SKSM","America/Bogota"
"Gustavo Rojas Pinilla","San Andres Island","Colombia","ADZ","SKSP","America/Bogota"
"Eduardo Falla Solano","San Vincente De Caguan","Colombia","SVI","SKSV","America/Bogota"
"Tame","Tame","Colombia","TME","SKTM","America/Bogota"
"Santiago Perez","Arauca","Colombia","AUC","SKUC","America/Bogota"
"El Carano","Quibdo","Colombia","UIB","SKUI","America/Bogota"
"Farfan","Tulua","Colombia","ULQ","SKUL","America/Bogota"
"Alfonso Lopez Pumarejo","Valledupar","Colombia","VUP","SKVP","America/Bogota"
"Vanguardia","Villavicencio","Colombia","VVC","SKVV","America/Bogota"
"Bermejo","Bermejo","Bolivia","BJO","SLBJ","America/La_Paz"
"Jorge Wilsterman","Cochabamba","Bolivia","CBB","SLCB","America/La_Paz"
"Chimore","Chapacura","Bolivia",NA,"SLCH","America/La_Paz"
"Heroes Del Acre","Cobija","Bolivia","CIJ","SLCO","America/La_Paz"
"El Alto Intl","La Paz","Bolivia","LPB","SLLP","America/La_Paz"
"Juan Mendoza","Oruro","Bolivia",NA,"SLOR","America/La_Paz"
"Capitan Nicolas Rojas","Potosi","Bolivia","POI","SLPO","America/La_Paz"
"Tte De Av Salvador Ogaya G","Puerto Suarez","Bolivia","PSZ","SLPS","America/La_Paz"
"Santa Ana Del Yacuma","Santa Ana","Bolivia",NA,"SLSA","America/La_Paz"
"Juana Azurduy De Padilla","Sucre","Bolivia","SRE","SLSU","America/La_Paz"
"Capitan Oriel Lea Plaza","Tarija","Bolivia","TJA","SLTJ","America/La_Paz"
